set_code,name,population,index_value,eco_level
2029,???? ???,748,0.67,7
335,??? ?????,1011,1.015,8
367,??? ????,749,1.124,8
445,???? ????,1091,1.132,8
586,?????,847,1.251,8
241,????? (?????),1345,1.715,9
3786,????,128,0.136,5
3645,??? ?????,159,0.446,6
3639,??? ?????,239,0.508,7
3556,?????,207,0.577,7
3601,????,394,0.96,7
3610,???? ???,173,0.977,8
658,????' ????,2742,-0.916,2
1246,??????,1604,-0.854,3
376,?????,745,-0.215,4
1183,????,572,0.012,5
785,??????,822,0.026,5
289,??? ?????,1197,0.095,5
708,????,644,0.159,6
297,??? ?????,754,0.216,6
572,??? ????,511,0.31,6
313,???,562,0.517,7
280,?????,724,0.631,7
409,?????,587,0.687,7
576,????,991,0.77,7
432,????,436,0.807,7
595,????? ???????,532,0.909,7
463,?????,568,0.937,7
792,???? ??????,488,0.952,7
454,???,780,0.99,8
1143,?? ????,181,0.996,8
1256,????,465,1.058,8
589,???,250,1.077,8
294,?????,962,1.078,8
390,????,1038,1.133,8
579,??? ??? ?????,1271,1.151,8
559,????? ?????,961,1.174,8
574,??? ????,1542,1.184,8
575,?????,697,1.185,8
674,????,729,1.194,8
325,?????,1116,1.236,8
712,?? ???,745,1.328,8
1068,?????,175,1.523,8
282,??? ????,1011,1.594,8
3648,??????,698,-1.467,2
3779,???? ????,7313,-1.446,2
3767,??????,665,-1.165,2
3752,???? ?????,766,-1.003,2
3823,??? ???????,2347,-0.745,3
3576,???? ?????,2307,-0.615,3
3641,????,3379,-0.528,3
3765,???,4092,-0.525,3
3564,???? ????,1945,-0.483,3
3709,???? ?????,2517,-0.458,3
3658,????,894,-0.443,3
3788,?????,3704,-0.351,4
3763,??? ??????,5232,-0.305,4
3651,???? ????,1351,-0.076,5
3659,?????,1902,-0.071,5
3617,????,3189,-0.042,5
3747,????,1302,0.119,5
3573,?????,1278,0.32,6
3565,???????,598,0.526,7
3575,??? ?????,1228,0.609,7
3638,??? ??????,4145,0.622,7
3770,????????,2762,0.731,7
3787,????,1573,0.782,7
3715,?????,1286,0.846,7
3644,????? ?????,1151,1.007,8
3655,"???""?",1438,1.143,8
3796,??? ???????,2700,1.555,8
1056,"??? ???-??""? ?????",165,-1.903,1
2039,????? ????? (????),265,-1.543,2
521,??? ?????,3064,-1.181,2
514,??? ????,1079,-0.776,3
1134,?? ??????,131,-0.538,3
10,?????,474,-0.411,4
465,????,651,-0.356,4
751,??? ????,775,-0.223,4
127,??? ???,450,-0.155,5
805,????,738,-0.134,5
794,????,521,-0.034,5
1123,????,869,0.039,5
816,????,510,0.084,5
27,???? ????,376,0.107,5
776,?????,434,0.165,6
39,???,384,0.198,6
809,???,510,0.214,6
52,?????,653,0.23,6
1071,???? ?????,544,0.28,6
740,??????,1200,0.318,6
859,?????,429,0.368,6
